,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower
0,4261.4,5274.955,296.5656305,5571.520631,4978.38937,3334.92,4694.088,258.5160802,4952.60408,4435.57192,3482.71,5779.048,298.2408803,6077.28888,5480.80712,6226.911765,6436.365686,397.1750508,6833.540737,6039.190635,3974.35,314.078641545394,5853.772,6167.85064154539,5539.69335845461
1,4549.62,5380.878,341.3413569,5722.219357,5039.536643,5235.98,4794.468,369.2669806,5163.734981,4425.201019,6346.72,5996.273,370.9307971,6367.203797,5625.342203,6904.676471,6379.236275,372.39306,6751.629335,6006.843214,6396.73,383.626797514199,6008.041,6391.6677975142,5624.4142024858
2,5054.15,5432.373,375.3512329,5807.724233,5057.021767,5801.3,4719.515,387.5739084,5107.088908,4331.941092,6828.96,5891.971,398.3701412,6290.341141,5493.600859,7425.745098,6227.046078,346.2055765,6573.251655,5880.840502,6279.41,396.491821124976,5883.502,6279.99382112498,5487.01017887503
3,5163.44,5453.682,370.072921,5823.754921,5083.609079,5502.06,4551.868,398.9571357,4950.825136,4152.910864,6421.69,5771.298,399.2922613,6170.590261,5372.005739,6840.705882,6035.686275,374.4595623,6410.145837,5661.226712,5456.91,393.302547689435,5765.43,6158.73254768944,5372.12745231057
4,5925.36,5461.845,380.8112353,5842.656235,5081.033765,5366.07,4419.834,391.8605753,4811.694575,4027.973425,6359.97,5664.921,407.0416262,6071.962626,5257.879374,5892.029412,5900.171569,413.6256897,6313.797258,5486.545879,6182.87,417.417964791886,5731.224,6148.64196479189,5313.80603520812
5,5268.14,5384.103,390.0306098,5774.13361,4994.07239,5178.83,4209.711,392.6364336,4602.347434,3817.074566,6147.72,5513.978,413.4008808,5927.378881,5100.577119,6970.284314,5800.596078,375.06504,6175.661118,5425.531038,6436.22,411.64997864205,5612.289,6023.93897864205,5200.63902135795
6,5875.95,5368.831,397.7021225,5766.533123,4971.128878,4437.13,4029.994,391.2379638,4421.231964,3638.756036,5931.35,5412.28,401.4494153,5813.729415,5010.830585,6393.176471,5620.778431,397.7625254,6018.540957,5223.015906,6017.17,411.237685056951,5472.151,5883.38868505695,5060.91331494305
7,5673.04,5295.065,405.1273545,5700.192355,4889.937646,3614.86,3887.465,383.4082688,4270.873269,3504.056731,5276.29,5358.029,405.4829104,5763.51191,4952.54609,6012.264706,5469.219608,395.7291668,5864.948775,5073.490441,6231.26,413.586756707707,5400.133,5813.71975670771,4986.54624329229
8,5591.94,5199.863,401.6733493,5601.536349,4798.189651,4272.38,3864.6,395.1383296,4259.73833,3469.46167,5783.39,5334.534,413.4379593,5747.971959,4921.096041,5564.872549,5365.741176,422.827544,5788.568721,4942.913632,6070.65,406.229489913029,5202.498,5608.72748991303,4796.26851008697
9,5386.51,5151.055,395.6557732,5546.710773,4755.399227,4197.35,3770.304,397.9073112,4168.211311,3372.396689,5211.68,5269.463,418.4809443,5687.943944,4850.982056,6132.990196,5310.35,402.8524148,5713.202415,4907.497585,5492.15,414.883058553853,5069.477,5484.36005855385,4654.59394144615
10,5320.63,5094.047,410.4041159,5504.451116,4683.642884,4338.72,3736.913,414.7617415,4151.674742,3322.151259,5654.96,5247.785,408.1148681,5655.899868,4839.670132,5655.617647,5199.556863,403.6580508,5603.214914,4795.898812,5517.04,421.40987836547,4966.302,5387.71187836547,4544.89212163453
11,5064.57,5087.491,410.4797672,5497.970767,4677.011233,4486.45,3647.622,409.8577217,4057.479722,3237.764278,5303.7,5160.716,415.2992763,5576.015276,4745.416724,5382.77451,5096.846078,405.5259373,5502.372016,4691.320141,5151.34,429.160071120322,4905.478,5334.63807112032,4476.31792887968
12,5267.24,5096.95,387.0464487,5483.996449,4709.903551,4124.83,3525.714,392.2384354,3917.952435,3133.475565,5622.23,5153.51,431.5762458,5585.086246,4721.933754,5512.147059,5025.84902,418.8973693,5444.746389,4606.95165,5098.69,420.085045364626,4853.486,5273.57104536463,4433.40095463537
13,5245.07,5100.425,413.5410449,5513.966045,4686.883955,4181.72,3460.72,401.4655781,3862.185578,3059.254422,5357.92,5134.271,420.2305664,5554.501566,4714.040434,5485.558824,4972.223529,425.1939525,5397.417482,4547.029577,5114.85,411.17775483968,4788.737,5199.91475483968,4377.55924516032
14,5147.94,5061.721,409.5655188,5471.286519,4652.155481,3264.84,3402.104,353.2249096,3755.32891,3048.87909,4850.54,5126.968,410.449273,5537.417273,4716.518727,4896.27451,4963.355882,395.3944466,5358.750329,4567.961436,4993.52,429.788387576957,4733.483,5163.27138757696,4303.69461242304
15,5115.42,5075.547,408.1553827,5483.702383,4667.391617,3381.66,3432.814,377.1150419,3809.929042,3055.698958,5130.74,5179.67,423.4776253,5603.147625,4756.192375,5172.107843,5019.126471,417.3637543,5436.490225,4601.762716,5034.84,425.804980412395,4676.188,5101.9929804124,4250.38301958761
16,5138.29,5080.414,403.8405307,5484.254531,4676.573469,3011.84,3421.338,362.7553436,3784.093344,3058.582656,5388.84,5221.489,414.7705828,5636.259583,4806.718417,4877.588235,5045.070588,413.8029946,5458.873583,4631.267594,5296.99,421.099626809381,4607.099,5028.19862680938,4185.99937319062
