,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower
0,4261.4,5274.955,296.5656305,5571.520631,4978.38937,3909.042,3928.2415,92.511447941517,4020.75294794152,3835.73005205848,4016.97386934673,4359.93286432161,99.1591857209721,4459.09205004258,4260.77367860064,6226.911765,6436.365686,397.1750508,6833.540737,6039.190635,3974.35,314.078641545394,5853.772,6167.85064154539,5539.69335845461
1,4549.62,5380.878,341.3413569,5722.219357,5039.536643,5056.213,3872.6488,112.90183737934,3985.55063737934,3759.74696262066,5393.53467336683,4340.44462311558,115.603892768739,4456.04851588432,4224.84073034684,6904.676471,6379.236275,372.39306,6751.629335,6006.843214,6396.73,383.626797514199,6008.041,6391.6677975142,5624.4142024858
2,5054.15,5432.373,375.3512329,5807.724233,5057.021767,4328.54,3710.574,113.374833875954,3823.94883387595,3597.19916612405,4871.70050251256,4170.54030150754,121.922904241459,4292.463205749,4048.61739726608,7425.745098,6227.046078,346.2055765,6573.251655,5880.840502,6279.41,396.491821124976,5883.502,6279.99382112498,5487.01017887503
3,5163.44,5453.682,370.072921,5823.754921,5083.609079,3977.716,3613.6296,114.952799432393,3728.58239943239,3498.67680056761,4781.34170854271,4044.99638190955,122.240113585429,4167.23649549498,3922.75626832412,6840.705882,6035.686275,374.4595623,6410.145837,5661.226712,5456.91,393.302547689435,5765.43,6158.73254768944,5372.12745231057
4,5925.36,5461.845,380.8112353,5842.656235,5081.033765,3761.748,3529.7603,112.582269503222,3642.34256950322,3417.17803049678,4449.52763819095,3930.53035175879,124.825708192713,4055.35605995151,3805.70464356608,5892.029412,5900.171569,413.6256897,6313.797258,5486.545879,6182.87,417.417964791886,5731.224,6148.64196479189,5313.80603520812
5,5268.14,5384.103,390.0306098,5774.13361,4994.07239,3858.181,3467.9913,114.664027036552,3582.65532703655,3353.32727296345,4350.608040201,3851.8183919598,122.163301422625,3973.98169338242,3729.65509053717,6970.284314,5800.596078,375.06504,6175.661118,5425.531038,6436.22,411.64997864205,5612.289,6023.93897864205,5200.63902135795
6,5875.95,5368.831,397.7021225,5766.533123,4971.128878,3693.671,3392.4304,113.195819731821,3505.62621973182,3279.23458026818,4229.93768844221,3796.45778894472,123.472625375332,3919.93041432005,3672.98516356939,6393.176471,5620.778431,397.7625254,6018.540957,5223.015906,6017.17,411.237685056951,5472.151,5883.38868505695,5060.91331494305
7,5673.04,5295.065,405.1273545,5700.192355,4889.937646,3608.708,3335.7607,114.270774727119,3450.03147472712,3221.48992527288,3858.8040201005,3722.8208040201,120.436870133977,3843.25767415408,3602.38393388612,6012.264706,5469.219608,395.7291668,5864.948775,5073.490441,6231.26,413.586756707707,5400.133,5813.71975670771,4986.54624329229
8,5591.94,5199.863,401.6733493,5601.536349,4798.189651,3601.641,3284.7572,115.351608563206,3400.10880856321,3169.40559143679,3869.49849246231,3689.65748743719,120.449316000777,3810.10680343796,3569.20817143641,5564.872549,5365.741176,422.827544,5788.568721,4942.913632,6070.65,406.229489913029,5202.498,5608.72748991303,4796.26851008697
9,5386.51,5151.055,395.6557732,5546.710773,4755.399227,3486.955,3243.6133,113.680612097996,3357.293912098,3129.932687902,3777.40201005025,3650.71145728643,120.589420670986,3771.30087795742,3530.12203661545,6132.990196,5310.35,402.8524148,5713.202415,4907.497585,5492.15,414.883058553853,5069.477,5484.36005855385,4654.59394144615
10,5320.63,5094.047,410.4041159,5504.451116,4683.642884,3353.115,3213.9617,113.55615443372,3327.51785443372,3100.40554556628,3822.09145728643,3592.65879396985,121.383293223651,3714.0420871935,3471.2755007462,5655.617647,5199.556863,403.6580508,5603.214914,4795.898812,5517.04,421.40987836547,4966.302,5387.71187836547,4544.89212163453
11,5064.57,5087.491,410.4797672,5497.970767,4677.011233,3435.465,3195.0202,113.321567535818,3308.34176753582,3081.69863246418,3694.49145728643,3539.9824120603,120.282313547449,3660.26472560775,3419.70009851285,5382.77451,5096.846078,405.5259373,5502.372016,4691.320141,5151.34,429.160071120322,4905.478,5334.63807112032,4476.31792887968
12,5267.24,5096.95,387.0464487,5483.996449,4709.903551,3359.096,3172.5001,112.731170511017,3285.23127051102,3059.76892948898,3616.26130653266,3507.77195979899,120.465780245079,3628.23774004407,3387.30617955392,5512.147059,5025.84902,418.8973693,5444.746389,4606.95165,5098.69,420.085045364626,4853.486,5273.57104536463,4433.40095463537
13,5245.07,5100.425,413.5410449,5513.966045,4686.883955,3139.023,3150.3868,108.662401218043,3259.04920121804,3041.72439878196,3636.68140703518,3484.79236180905,119.645923328052,3604.4382851371,3365.14643848099,5485.558824,4972.223529,425.1939525,5397.417482,4547.029577,5114.85,411.17775483968,4788.737,5199.91475483968,4377.55924516032
14,5147.94,5061.721,409.5655188,5471.286519,4652.155481,3144.058,3156.7448,109.587424682926,3266.33222468293,3047.15737531707,3662.408040201,3454.3751758794,120.958836634332,3575.33401251373,3333.41633924507,4896.27451,4963.355882,395.3944466,5358.750329,4567.961436,4993.52,429.788387576957,4733.483,5163.27138757696,4303.69461242304
15,5115.42,5075.547,408.1553827,5483.702383,4667.391617,3102.572,3148.5032,109.785961046101,3258.2891610461,3038.7172389539,3797.00201005025,3425.04773869347,122.173233154888,3547.22097184836,3302.87450553858,5172.107843,5019.126471,417.3637543,5436.490225,4601.762716,5034.84,425.804980412395,4676.188,5101.9929804124,4250.38301958761
16,5138.29,5080.414,403.8405307,5484.254531,4676.573469,3126.974,3140.9694,110.69782714816,3251.66722714816,3030.27157285184,3493.56783919598,3372.35256281407,118.182832097781,3490.53539491185,3254.16973071629,4877.588235,5045.070588,413.8029946,5458.873583,4631.267594,5296.99,421.099626809381,4607.099,5028.19862680938,4185.99937319062
17,4721.02,5078.582,422.5812611,5501.163261,4656.000739,3098.673,3124.2107,112.00795011994,3236.21865011994,3012.20274988006,3527.17085427136,3359.89879396985,118.802776403902,3478.70157037375,3241.09601756595,4977.480392,5080.946078,414.0942536,5495.040332,4666.851825,4254.91,409.828863086777,4563.724,4973.55286308678,4153.89513691322
18,5103.86,5073.792,396.1345234,5469.926523,4677.657477,3190.202,3120.2351,111.551632956206,3231.78673295621,3008.68346704379,3480.03819095477,3334.63065326633,117.575601880537,3452.20625514687,3217.05505138579,5010.960784,5057.355882,407.5563058,5464.912188,4649.799577,4740.44,408.472458146201,4577.629,4986.1014581462,4169.1565418538
19,4816.43,5030.21,413.2971041,5443.507104,4616.912896,3190.439,3117.2033,113.459619399498,3230.6629193995,3003.7436806005,3196.87537688442,3330.75718592965,114.418789377836,3445.17597530748,3216.33839655181,5025.058824,5102.886275,416.2585267,5519.144801,4686.627748,4460.4,418.63785280359,4574.847,4993.48485280359,4156.20914719641
20,5255.07,5093.082,417.3252727,5510.407273,4675.756727,3163.7,3117.3852,111.506355415286,3228.89155541529,3005.87884458471,3295.32763819095,3350.2248241206,116.573572867757,3466.79839698836,3233.65125125285,4628.509804,5117.690196,409.8656401,5527.555836,4707.824556,4908.8,421.771033618953,4600.154,5021.92503361895,4178.38296638105
21,5159.16,5037.223,412.0582885,5449.281289,4625.164712,3210.264,3118.7602,111.852797239515,3230.61299723952,3006.90740276049,3372.38693467337,3337.59889447236,118.589048832502,3456.18794330486,3219.00984563986,4672.803922,5114.253922,424.5243445,5538.778266,4689.729577,4631.42,411.176799000138,4567.985,4979.16179900014,4156.80820099986
22,5301.99,5016.778,422.135823,5438.913823,4594.642177,3137.963,3113.9729,112.307666851516,3226.28056685152,3001.66523314848,3386.46532663317,3323.94743718593,118.631563174271,3442.5790003602,3205.31587401166,4975.892157,5152.326471,409.1360037,5561.462474,4743.190467,4451.2,410.900250669186,4560.774,4971.67425066919,4149.87374933081
23,4858.03,4970.852,410.3480987,5381.200099,4560.503901,3202.603,3108.566,112.596466567077,3221.16246656708,2995.96953343292,3332.50954773869,3329.50753768844,117.625713233055,3447.1332509215,3211.88182445539,5396.882353,5165.536275,414.9297118,5580.465986,4750.606563,4562.31,402.014153157572,4571.617,4973.63115315757,4169.60284684243
24,5286.2,4952.075,412.5572275,5364.632228,4539.517773,3061.642,3094.6574,110.394508159763,3205.05190815976,2984.26289184024,3369.13366834171,3335.40633165829,118.579990889098,3453.98632254739,3216.82634076919,5453.980392,5119.405882,403.6669617,5523.072844,4715.738921,4420.57,417.805047182295,4578.798,4996.6030471823,4160.99295281771
25,5164.09,4920.393,419.5891801,5339.98218,4500.80382,3027.234,3092.1518,111.044746932234,3203.19654693223,2981.10705306777,3270.05025125628,3352.92944723618,117.590118871219,3470.5195661074,3235.33932836496,5431.54902,5066.773529,422.2922232,5489.065753,4644.481306,4343.95,411.267824993641,4549.833,4961.10082499364,4138.56517500636
26,5119.97,4889.874,426.2521992,5316.126199,4463.621801,2959.387,3100.8081,110.050851133606,3210.8589511336,2990.75724886639,3369.03015075377,3353.1167839196,117.754568066995,3470.87135198659,3235.3622158526,5236.343137,5041.341176,430.7369876,5472.078164,4610.604189,4863.24,423.593063002689,4534.75,4958.34306300269,4111.15693699731
27,4673.12,4842.08,408.024393,5250.104393,4434.055607,3058.917,3106.9642,113.712922194933,3220.67712219493,2993.25127780507,3274.48944723618,3348.71266331658,115.561783324534,3464.27444664112,3233.15087999205,4741.578431,4992.00098,412.2806593,5404.28164,4579.720321,4393.96,429.303291839231,4486.9,4916.20329183923,4057.59670816077
28,4668.04,4827.787,416.019364,5243.806364,4411.767636,3159.884,3106.021,113.072230350975,3219.09323035097,2992.94876964902,3441.30351758794,3366.20743718593,119.824933392834,3486.03237057876,3246.38250379309,5466.264706,4990.653922,412.4829732,5403.136895,4578.170948,4712.62,444.576586603478,4479.987,4924.56358660348,4035.41041339652
29,5445.15,4864.571,428.1315703,5292.70257,4436.43943,3192.258,3093.5823,115.543925480468,3209.12622548047,2978.03837451953,3391.55175879397,3357.60773869347,117.711311537599,3475.31905023107,3239.89642715587,5173.098039,4926.835294,416.1337655,5342.96906,4510.701529,4713.47,407.818154685394,4379.36,4787.17815468539,3971.54184531461
30,4696.48,4813.782,422.7182484,5236.500248,4391.063752,3177.45,3073.5913,113.478490814339,3187.06979081434,2960.11280918566,3169.06834170854,3345.46582914573,114.492525740309,3459.95835488604,3230.97330340542,4594.147059,4863.148039,405.5893151,5268.737354,4457.558724,4587.11,421.434187719744,4282.323,4703.75718771974,3860.88881228026
31,4954.71,4814.55,419.5355521,5234.085552,4395.014448,3162.391,3063.5837,116.001262355713,3179.58496235571,2947.58243764429,3235.87236180905,3365.49266331658,115.44664478676,3480.93930810334,3250.04601852982,5053.529412,4892.417647,404.532836,5296.950483,4487.884811,4559.31,411.967184055963,4180.215,4592.18218405596,3768.24781594404
32,4842.73,4774.776,403.0424158,5177.818416,4371.733584,3083.894,3061.264,113.077973225399,3174.3419732254,2948.1860267746,3442.06633165829,3364.52763819095,118.901734944389,3483.42937313534,3245.62590324657,5107.990196,4830.998039,403.7170581,5234.715097,4427.280981,4559.63,421.132745973286,4160.262,4581.39474597329,3739.12925402671
33,4670.26,4755.73,427.3458388,5183.075839,4328.384161,3063.517,3066.5677,113.337417553564,3179.90511755356,2953.23028244644,3391.49748743719,3359.94633165829,120.280157468484,3480.22648912678,3239.66617418981,4935.578431,4764.356863,402.9106912,5167.267554,4361.446172,4634.12,415.267792943301,4125.566,4540.8337929433,3710.2982070567
34,4969.38,4736.801,417.2812413,5154.082241,4319.519759,3036.586,3050.9875,114.185485744047,3165.17298574405,2936.80201425595,3544.3648241206,3349.65809045226,122.126566944488,3471.78465739675,3227.53152350777,4927.656863,4765.344118,417.2040752,5182.548193,4348.140042,4130.92,409.867587076607,4046.506,4456.37358707661,3636.63841292339
35,4858.9,4689.791,425.2232408,5115.014241,4264.567759,3113.797,3048.6266,112.481524215273,3161.10812421527,2936.14507578473,3271.92361809045,3330.58251256281,118.130658226452,3448.71317078927,3212.45185433636,5177.22549,4715.939216,413.7064062,5129.645622,4302.232809,4193.12,398.191352311925,4036.708,4434.89935231193,3638.51664768807
36,4642.03,4636.294,421.026272,5057.320272,4215.267728,3020.948,3047.1903,110.167410795099,3157.3577107951,2937.0228892049,3324.98894472362,3333.65507537688,119.037408139758,3452.69248351664,3214.61766723713,4742.941176,4678.683333,399.8165895,5078.499923,4278.866744,4384.74,407.440616438764,4057.492,4464.93261643876,3650.05138356124
37,4530.19,4657.772,439.5813542,5097.353354,4218.190646,3049.485,3050.1383,110.598310022238,3160.73661002224,2939.53998997776,3449.43718592965,3311.85165829146,119.387479786888,3431.23913807835,3192.46417850457,4728.107843,4651.544118,396.8249531,5048.369071,4254.719165,4324.83,400.642834218959,4006.227,4406.86983421896,3605.58416578104
38,5035.88,4628.503,426.0982542,5054.601254,4202.404746,3035.497,3035.8047,112.164853077918,3147.96955307792,2923.63984692208,3355.30653266332,3293.42050251256,118.334335122246,3411.75483763481,3175.08616739032,4828.078431,4604.99902,413.3002849,5018.299304,4191.698735,3706.35,393.870797946484,3995.022,4388.89279794648,3601.15120205352
39,4937.26,4548.845,418.1892681,4967.034268,4130.655732,2992.348,3039.1136,112.711343550221,3151.82494355022,2926.40225644978,3270.13266331658,3284.30613065327,115.619609435408,3399.92574008867,3168.68652121786,4536.22549,4541.009804,408.0809504,4949.090754,4132.928854,3743.1,406.188672540237,4057.152,4463.34067254024,3650.96332745976
40,4704.16,4504.9,414.8236555,4919.723656,4090.076345,3077.374,3038.1844,112.747271595032,3150.93167159503,2925.43712840497,3369.33668341709,3282.14964824121,117.913829367009,3400.06347760821,3164.2358188742,4886.843137,4489.332353,413.4742576,4902.806611,4075.858095,3566.03,379.344974780212,4110.747,4490.09197478021,3731.40202521979
41,4556.97,4515.6,419.4633549,4935.063355,4096.136645,3139.194,3042.9744,114.760461729483,3157.73486172948,2928.21393827052,3226.22211055276,3283.13949748744,118.054513260711,3401.19401074815,3165.08498422673,4439.333333,4371.190196,392.9950944,4764.18529,3978.195102,4359.78,408.259202855245,4130.233,4538.49220285525,3721.97379714476
42,4652.27,4445.24,427.9363286,4873.176329,4017.303671,3136.931,3038.5515,113.580515187417,3152.13201518742,2924.97098481258,3396.25326633166,3277.6016080402,119.953822711148,3397.55543075135,3157.64778532905,4441.578431,4303.003922,394.5386819,4697.542603,3908.46524,4212.67,413.254877056521,4105.188,4518.44287705652,3691.93312294348
43,4480.97,4417.874,419.2784026,4837.152403,3998.595597,2907.715,3022.9474,110.648681337714,3133.59608133771,2912.29871866229,3288.61507537688,3269.75326633166,117.987489147525,3387.74075547918,3151.76577718413,4945.45098,4286.052941,407.7008249,4693.753766,3878.352116,3843.52,395.984621792312,4095.833,4491.81762179231,3699.84837820769
44,4499.28,4399.875,435.4134327,4835.288433,3964.461567,3012.977,3034.7745,113.228526443079,3148.00302644308,2921.54597355692,3353.60904522613,3264.55778894472,118.856152304801,3383.41394124952,3145.70163663992,4433.607843,4180.947059,396.7164525,4577.663511,3784.230606,4032.94,404.404866642329,4138.239,4542.64386664233,3733.83413335767
45,4323.93,4384.396,430.5277922,4814.923792,3953.868208,3099.434,3041.7399,114.013026420861,3155.75292642086,2927.72687357914,3302.64924623116,3243.21286432161,117.629923770593,3360.8427880922,3125.58294055101,4804.666667,4165.12451,400.1220626,4565.246572,3765.002447,4400.96,394.559185654066,4209.559,4604.11818565407,3814.99981434593
46,4856.81,4341.625,414.0019888,4755.626989,3927.623011,3050.428,3033.9812,113.018063188218,3146.99926318822,2920.96313681178,3106.95477386935,3223.64341708543,116.000827540435,3339.64424462586,3107.64258954499,4471.54902,4081.4,391.4090273,4472.809027,3689.990973,3872.09,400.816200544589,4177.323,4578.13920054459,3776.50679945541
47,4237.5,4291.222,405.3653225,4696.587323,3885.856678,2906.149,3038.7375,108.740280599229,3147.47778059923,2929.99721940077,3265.1256281407,3233.44854271357,118.93585917548,3352.38440188905,3114.51268353809,4262.656863,4033.427451,406.40356,4439.831011,3627.023891,4212.78,394.447101036375,4233.889,4628.33610103637,3839.44189896362
48,4239.3,4292.091,399.8477582,4691.938758,3892.243242,3068.586,3048.2231,110.945153758981,3159.16825375898,2937.27794624102,3264.16281407035,3241.55336683417,118.316126465489,3359.86949329966,3123.23724036868,4188.186275,3988.902941,387.9312098,4376.834151,3600.971731,4327.65,415.644981294133,4275.909,4691.55398129413,3860.26401870587
49,4497.81,4278.764,430.8931277,4709.657128,3847.870872,2983.056,3048.815,111.10937885194,3159.92437885194,2937.70562114806,3248.56783919598,3223.23668341709,118.652337970207,3341.88902138729,3104.58434544688,4019.45098,3937.370588,377.6345488,4315.005137,3559.736039,4279.05,398.605488766775,4283.591,4682.19648876678,3884.98551123323
50,4811.16,4245.737,414.5289967,4660.265997,3831.208003,3125.274,3048.5063,114.879181233694,3163.38548123369,2933.62711876631,3379.2351758794,3217.12361809045,120.993331155712,3338.11694924616,3096.13028693474,3705.421569,3948.016667,386.391258,4334.407925,3561.625409,3760.89,381.813933453194,4266.055,4647.86893345319,3884.24106654681
