,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,DTA-mean,DTA-10_moving_average,DTA-se,DTA-upper,DTA-lower,SRS-mean,SRS-10_moving_average,SRS-se,SRS-upper,SRS-lower,NRS-mean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,SARSA-RS-mean,SARSA-RS-se,SARSA-RS-10_moving,SARSA-RS-upper,SARSA-RS-lower,SPRS-mean,SPRS-se,SPRS-10_moving,SPRS-upper,SPRS-lower
0,4261.4,5274.955,296.5656305,5571.520631,4978.38937,3334.92,4694.088,258.5160802,4952.60408,4435.57192,3909.042,3928.2415,92.51144794,4020.752948,3835.730052,6226.911765,6436.365686,397.1750508,6833.540737,6039.190635,3974.35,314.0786415,5853.772,6167.850642,5539.693358,4088.124,202.56638706976,4998.1076,5200.67398706976,4795.54121293024
1,4549.62,5380.878,341.3413569,5722.219357,5039.536643,5235.98,4794.468,369.2669806,5163.734981,4425.201019,5056.213,3872.6488,112.9018374,3985.550637,3759.746963,6904.676471,6379.236275,372.39306,6751.629335,6006.843214,6396.73,383.6267975,6008.041,6391.667798,5624.414202,4712.244,225.140254814318,5103.89,5329.03025481432,4878.74974518568
2,5054.15,5432.373,375.3512329,5807.724233,5057.021767,5801.3,4719.515,387.5739084,5107.088908,4331.941092,4328.54,3710.574,113.3748339,3823.948834,3597.199166,7425.745098,6227.046078,346.2055765,6573.251655,5880.840502,6279.41,396.4918211,5883.502,6279.993821,5487.010179,5331.144,232.478142622174,5095.8952,5328.37334262218,4863.41705737783
3,5163.44,5453.682,370.072921,5823.754921,5083.609079,5502.06,4551.868,398.9571357,4950.825136,4152.910864,3977.716,3613.6296,114.9527994,3728.582399,3498.676801,6840.705882,6035.686275,374.4595623,6410.145837,5661.226712,5456.91,393.3025477,5765.43,6158.732548,5372.127452,5210.14,237.518310202814,5038.0452,5275.56351020281,4800.52688979719
4,5925.36,5461.845,380.8112353,5842.656235,5081.033765,5366.07,4419.834,391.8605753,4811.694575,4027.973425,3761.748,3529.7603,112.5822695,3642.34257,3417.17803,5892.029412,5900.171569,413.6256897,6313.797258,5486.545879,6182.87,417.4179648,5731.224,6148.641965,5313.806035,5224.104,246.835464592785,4979.3112,5226.14666459279,4732.47573540722
5,5268.14,5384.103,390.0306098,5774.13361,4994.07239,5178.83,4209.711,392.6364336,4602.347434,3817.074566,3858.181,3467.9913,114.664027,3582.655327,3353.327273,6970.284314,5800.596078,375.06504,6175.661118,5425.531038,6436.22,411.6499786,5612.289,6023.938979,5200.639021,5329.652,247.912983918923,4954.1984,5202.11138391892,4706.28541608108
6,5875.95,5368.831,397.7021225,5766.533123,4971.128878,4437.13,4029.994,391.2379638,4421.231964,3638.756036,3693.671,3392.4304,113.1958197,3505.62622,3279.23458,6393.176471,5620.778431,397.7625254,6018.540957,5223.015906,6017.17,411.2376851,5472.151,5883.388685,5060.913315,5433.22,249.500684244352,4887.3692,5136.86988424435,4637.86851575565
7,5673.04,5295.065,405.1273545,5700.192355,4889.937646,3614.86,3887.465,383.4082688,4270.873269,3504.056731,3608.708,3335.7607,114.2707747,3450.031475,3221.489925,6012.264706,5469.219608,395.7291668,5864.948775,5073.490441,6231.26,413.5867567,5400.133,5813.719757,4986.546243,4801.168,235.830069158078,4821.0064,5056.83646915808,4585.17633084192
8,5591.94,5199.863,401.6733493,5601.536349,4798.189651,4272.38,3864.6,395.1383296,4259.73833,3469.46167,3601.641,3284.7572,115.3516086,3400.108809,3169.405591,5564.872549,5365.741176,422.827544,5788.568721,4942.913632,6070.65,406.2294899,5202.498,5608.72749,4796.26851,4709.876,247.694790228814,4791.3824,5039.07719022881,4543.68760977119
9,5386.51,5151.055,395.6557732,5546.710773,4755.399227,4197.35,3770.304,397.9073112,4168.211311,3372.396689,3486.955,3243.6133,113.6806121,3357.293912,3129.932688,6132.990196,5310.35,402.8524148,5713.202415,4907.497585,5492.15,414.8830586,5069.477,5484.360059,4654.593941,5141.404,244.891713283925,4772.5848,5017.47651328393,4527.69308671608
10,5320.63,5094.047,410.4041159,5504.451116,4683.642884,4338.72,3736.913,414.7617415,4151.674742,3322.151259,3353.115,3213.9617,113.5561544,3327.517854,3100.405546,5655.617647,5199.556863,403.6580508,5603.214914,4795.898812,5517.04,421.4098784,4966.302,5387.711878,4544.892122,5145.948,253.40155599598,4680.9888,4934.39035599598,4427.58724400402
11,5064.57,5087.491,410.4797672,5497.970767,4677.011233,4486.45,3647.622,409.8577217,4057.479722,3237.764278,3435.465,3195.0202,113.3215675,3308.341768,3081.698632,5382.77451,5096.846078,405.5259373,5502.372016,4691.320141,5151.34,429.1600711,4905.478,5334.638071,4476.317929,4632.296,250.316867608909,4628.2044,4878.52126760891,4377.88753239109
12,5267.24,5096.95,387.0464487,5483.996449,4709.903551,4124.83,3525.714,392.2384354,3917.952435,3133.475565,3359.096,3172.5001,112.7311705,3285.231271,3059.768929,5512.147059,5025.84902,418.8973693,5444.746389,4606.95165,5098.69,420.0850454,4853.486,5273.571045,4433.400955,4752.644,253.843770010327,4635.7476,4889.59137001033,4381.90382998967
13,5245.07,5100.425,413.5410449,5513.966045,4686.883955,4181.72,3460.72,401.4655781,3862.185578,3059.254422,3139.023,3150.3868,108.6624012,3259.049201,3041.724399,5485.558824,4972.223529,425.1939525,5397.417482,4547.029577,5114.85,411.1777548,4788.737,5199.914755,4377.559245,4622.8,244.877626907809,4600.886,4845.76362690781,4356.00837309219
14,5147.94,5061.721,409.5655188,5471.286519,4652.155481,3264.84,3402.104,353.2249096,3755.32891,3048.87909,3144.058,3156.7448,109.5874247,3266.332225,3047.157375,4896.27451,4963.355882,395.3944466,5358.750329,4567.961436,4993.52,429.7883876,4733.483,5163.271388,4303.694612,4972.976,253.616869213576,4598.3504,4851.96726921358,4344.73353078642
15,5115.42,5075.547,408.1553827,5483.702383,4667.391617,3381.66,3432.814,377.1150419,3809.929042,3055.698958,3102.572,3148.5032,109.785961,3258.289161,3038.717239,5172.107843,5019.126471,417.3637543,5436.490225,4601.762716,5034.84,425.8049804,4676.188,5101.99298,4250.38302,4661.36,254.867259995473,4528.8492,4783.71645999547,4273.98194000453
16,5138.29,5080.414,403.8405307,5484.254531,4676.573469,3011.84,3421.338,362.7553436,3784.093344,3058.582656,3126.974,3140.9694,110.6978271,3251.667227,3030.271573,4877.588235,5045.070588,413.8029946,5458.873583,4631.267594,5296.99,421.0996268,4607.099,5028.198627,4185.999373,4769.592,254.45848913751,4505.7296,4760.18808913751,4251.27111086249
