,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,AC
917,520.0,5115.0,842.0,646.0,1683.0
405,10000.0,1109.0,182.0,146.0,496.0
896,1088.0,362.0,798.0,800.0,1525.0
173,657.0,588.0,624.0,10000.0,10000.0
627,10000.0,597.0,711.0,754.0,251.0
454,613.0,888.0,1628.0,427.0,399.0
780,1100.0,347.0,222.0,1149.0,421.0
490,367.0,264.0,1092.0,352.0,10000.0
375,285.0,467.0,391.0,280.0,2889.0
466,305.0,390.0,2800.0,308.0,306.0
416,432.0,5803.0,1607.0,1196.0,1739.0
72,674.0,798.0,641.0,1303.0,2171.0
630,652.0,787.0,596.0,899.0,10000.0
796,1579.0,231.0,10000.0,10000.0,2171.0
61,1821.0,1713.0,186.0,1941.0,631.0
359,5181.0,191.0,367.0,3827.0,463.0
621,405.0,370.0,311.0,817.0,10000.0
153,2158.0,326.0,128.0,10000.0,1911.0
908,537.0,2581.0,156.0,489.0,837.0
255,304.0,387.0,301.0,946.0,1050.0
43,3281.0,865.0,480.0,10000.0,1128.0
880,149.0,2361.0,365.0,3373.0,1128.0
68,727.0,359.0,316.0,122.0,116.0
377,988.0,196.0,209.0,769.0,2681.0
281,379.0,8352.0,778.0,77.0,441.0
661,383.0,10000.0,741.0,158.0,1718.0
179,267.0,1484.0,511.0,337.0,900.0
314,568.0,424.0,476.0,2453.0,441.0
824,153.0,567.0,340.0,6342.0,2171.0
438,486.0,159.0,831.0,603.0,251.0
407,400.0,232.0,10000.0,1787.0,1128.0
784,1255.0,536.0,156.0,1589.0,1333.0
806,460.0,10000.0,372.0,953.0,1684.0
87,1451.0,3075.0,352.0,2553.0,660.0
920,780.0,837.0,6581.0,172.0,168.0
856,177.0,308.0,705.0,10000.0,462.0
364,1603.0,196.0,1801.0,171.0,10000.0
741,7645.0,10000.0,260.0,843.0,2306.0
979,1527.0,5478.0,1514.0,10000.0,10000.0
185,385.0,302.0,982.0,2827.0,7606.0
784,1255.0,536.0,156.0,1589.0,1333.0
171,318.0,523.0,427.0,387.0,1088.0
291,3549.0,492.0,10000.0,821.0,10000.0
894,2622.0,198.0,1298.0,2782.0,1718.0
876,142.0,1326.0,1288.0,2382.0,10000.0
2,838.0,4652.0,179.0,1008.0,1718.0
190,236.0,116.0,466.0,168.0,10000.0
73,1777.0,470.0,337.0,1739.0,1525.0
176,336.0,2391.0,469.0,165.0,10000.0
677,249.0,177.0,645.0,419.0,319.0
281,379.0,8352.0,778.0,77.0,441.0
325,504.0,5281.0,3515.0,1998.0,265.0
646,464.0,446.0,361.0,220.0,175.0
442,2824.0,328.0,1185.0,412.0,319.0
585,253.0,1753.0,897.0,1744.0,837.0
15,381.0,2131.0,179.0,1441.0,755.0
423,354.0,238.0,594.0,796.0,8862.0
218,512.0,445.0,305.0,462.0,1333.0
667,197.0,4274.0,647.0,1718.0,10000.0
711,1434.0,1055.0,268.0,615.0,1739.0
401,459.0,149.0,331.0,1000.0,168.0
735,515.0,4207.0,326.0,817.0,5128.0
63,1196.0,3687.0,2807.0,1839.0,1683.0
962,207.0,217.0,5594.0,10000.0,10000.0
511,4809.0,5699.0,832.0,9619.0,235.0
753,607.0,10000.0,99.0,204.0,4259.0
422,87.0,347.0,857.0,1868.0,10000.0
772,364.0,268.0,284.0,435.0,1243.0
677,249.0,177.0,645.0,419.0,319.0
851,130.0,1230.0,234.0,10000.0,827.0
10,227.0,1273.0,1883.0,544.0,10000.0
856,177.0,308.0,705.0,10000.0,462.0
491,466.0,250.0,199.0,4298.0,10000.0
272,1213.0,590.0,203.0,270.0,1683.0
202,167.0,776.0,874.0,10000.0,419.0
480,10000.0,2596.0,10000.0,1462.0,1710.0
667,197.0,4274.0,647.0,1718.0,10000.0
925,2628.0,4359.0,805.0,565.0,2881.0
868,2340.0,368.0,639.0,7716.0,176.0
68,727.0,359.0,316.0,122.0,116.0
391,1584.0,846.0,319.0,90.0,1710.0
431,4289.0,277.0,378.0,600.0,10000.0
117,726.0,480.0,180.0,235.0,1088.0
129,1824.0,858.0,217.0,567.0,10000.0
404,263.0,1330.0,340.0,1453.0,10000.0
340,2494.0,152.0,1074.0,827.0,10000.0
102,1488.0,481.0,1642.0,10000.0,176.0
173,657.0,588.0,624.0,10000.0,10000.0
15,381.0,2131.0,179.0,1441.0,755.0
162,145.0,301.0,683.0,811.0,982.0
21,304.0,184.0,394.0,10000.0,4259.0
297,2844.0,427.0,3276.0,399.0,311.0
768,1020.0,221.0,3365.0,237.0,2881.0
732,131.0,249.0,322.0,256.0,372.0
829,3805.0,2143.0,483.0,1869.0,72.0
157,1487.0,229.0,1020.0,10000.0,421.0
128,119.0,10000.0,411.0,437.0,2827.0
591,386.0,10000.0,135.0,10000.0,1088.0
594,1643.0,375.0,431.0,2306.0,4832.0
853,307.0,680.0,575.0,4942.0,1998.0
