,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,SARSA
0,213,853,647,999,879
1,887,912,982,281,999
2,999,999,999,444,451
3,466,999,999,999,581
4,999,999,517,426,338
5,999,999,999,247,796
6,437,999,409,999,182
7,915,999,249,887,542
8,999,999,999,896,999
9,999,466,999,479,999
10,999,173,999,999,999
11,422,801,695,476,375
12,577,310,532,759,173
13,999,281,451,452,999
14,999,796,338,563,982
15,375,820,999,311,488
16,213,577,955,999,999
17,614,338,999,999,188
18,317,999,999,281,511
19,879,488,999,426,999
20,302,999,294,894,999
21,887,999,395,999,999
22,999,391,999,311,759
23,999,853,999,177,999
24,999,999,249,968,636
25,912,347,959,999,999
26,887,999,399,469,317
27,956,999,686,577,324
28,433,999,999,535,302
29,999,999,399,999,542
30,302,999,305,999,399
31,759,879,999,542,999
32,302,639,373,999,999
33,999,801,999,999,488
34,310,999,317,999,912
35,999,182,577,999,347
36,451,999,759,999,421
37,433,451,999,647,751
38,999,999,577,581,912
39,999,999,999,421,213
40,519,999,999,741,444
41,304,999,806,999,915
42,999,317,999,177,999
43,999,517,193,548,956
44,956,519,327,970,759
45,627,999,324,999,317
46,999,636,477,999,999
47,519,444,999,193,820
48,511,999,517,310,999
49,999,466,581,323,511
50,999,853,999,792,999
51,999,915,249,989,801
52,999,999,999,999,999
53,999,999,900,240,633
54,519,820,317,381,853
55,999,999,200,324,912
56,915,999,824,478,999
57,511,421,999,737,310
58,451,999,999,597,999
59,999,820,999,251,999
60,581,999,516,999,999
61,999,324,382,999,337
62,999,999,999,188,999
63,999,915,214,999,451
64,999,801,311,999,451
65,879,488,999,381,999
66,511,999,999,999,999
67,999,999,357,999,999
68,451,614,279,193,853
69,317,999,404,281,999
70,310,999,999,581,887
71,619,912,364,895,999
72,999,999,999,281,188
73,581,182,999,993,375
74,796,999,999,444,999
75,999,999,395,302,999
76,614,999,962,999,999
77,982,999,900,311,999
78,532,751,853,951,173
79,324,999,347,999,999
80,517,999,999,999,173
81,999,488,747,999,999
82,437,999,999,433,391
83,999,399,636,910,999
84,281,999,999,999,511
85,614,173,451,276,853
86,302,999,999,999,999
87,999,999,260,999,182
88,796,636,999,999,999
89,999,982,999,999,302
90,999,421,999,939,391
91,999,999,273,391,999
92,800,999,679,213,581
93,879,999,188,337,639
94,956,614,999,922,751
95,532,999,999,259,451
96,391,639,451,999,999
97,999,999,999,999,982
98,639,999,643,296,879
99,213,999,200,519,347
