,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,AC
917,4418.0,4418.0,1451.0,1587.0,7906.0
405,1093.0,1093.0,3649.0,4220.0,2622.0
896,5441.0,5441.0,5619.0,5723.0,1451.0
173,1414.0,1414.0,5295.0,1941.0,1299.0
627,2330.0,2330.0,614.0,614.0,3712.0
454,8639.0,8639.0,10000.0,3479.0,10000.0
780,1936.0,1936.0,6646.0,1909.0,1307.0
490,10000.0,10000.0,873.0,2486.0,10000.0
375,9654.0,9654.0,1980.0,8514.0,3006.0
466,2622.0,2622.0,1312.0,7963.0,2330.0
416,1936.0,1936.0,2279.0,3138.0,3548.0
72,10000.0,10000.0,10000.0,2707.0,5218.0
630,980.0,980.0,4850.0,1154.0,1385.0
796,873.0,873.0,3360.0,10000.0,5218.0
61,4804.0,4804.0,845.0,4588.0,564.0
359,10000.0,10000.0,564.0,3006.0,5957.0
621,3495.0,3495.0,2233.0,3327.0,9328.0
153,1299.0,1299.0,3376.0,5218.0,2027.0
908,2330.0,2330.0,2692.0,10000.0,5588.0
255,4411.0,4411.0,1922.0,1766.0,4031.0
43,873.0,873.0,6829.0,4771.0,523.0
880,259.0,259.0,1735.0,1235.0,523.0
68,1593.0,1593.0,9556.0,10000.0,10000.0
377,7150.0,7150.0,3637.0,2720.0,259.0
281,341.0,341.0,2024.0,2582.0,5441.0
661,1972.0,1972.0,1002.0,1002.0,6503.0
179,4509.0,4509.0,2957.0,1227.0,8414.0
314,1550.0,1550.0,4300.0,10000.0,5441.0
824,1385.0,1385.0,3583.0,4412.0,5218.0
438,5341.0,5341.0,5253.0,4540.0,3712.0
407,6539.0,6539.0,3431.0,6926.0,523.0
784,10000.0,10000.0,1883.0,8021.0,2364.0
806,4823.0,4823.0,7606.0,1266.0,847.0
87,3548.0,3548.0,4731.0,1550.0,7033.0
920,614.0,614.0,6946.0,2268.0,1414.0
856,2027.0,2027.0,3582.0,1862.0,9654.0
364,7150.0,7150.0,9076.0,4411.0,1243.0
741,5090.0,5090.0,1928.0,1411.0,2498.0
979,1385.0,1385.0,10000.0,1481.0,5026.0
185,434.0,434.0,1593.0,1593.0,4160.0
784,10000.0,10000.0,1883.0,8021.0,2364.0
171,2364.0,2364.0,4847.0,6602.0,8458.0
291,523.0,523.0,2730.0,8993.0,4091.0
894,3712.0,3712.0,3614.0,2935.0,6503.0
876,614.0,614.0,10000.0,1951.0,5090.0
2,5163.0,5163.0,10000.0,9634.0,10000.0
190,2188.0,2188.0,1414.0,1414.0,1414.0
73,873.0,873.0,8934.0,3548.0,1451.0
176,3327.0,3327.0,6977.0,6342.0,1154.0
677,1481.0,1481.0,1592.0,9318.0,3683.0
281,341.0,341.0,2024.0,2582.0,5441.0
325,6539.0,6539.0,3662.0,523.0,10000.0
646,3397.0,3397.0,1936.0,3222.0,3432.0
442,6539.0,6539.0,7428.0,341.0,3683.0
585,6609.0,6609.0,2852.0,4823.0,5588.0
15,5089.0,5089.0,3674.0,847.0,873.0
423,1002.0,1002.0,3153.0,7241.0,1587.0
218,4411.0,4411.0,8232.0,1972.0,2364.0
667,10000.0,10000.0,10000.0,6503.0,7150.0
711,1154.0,1154.0,10000.0,5727.0,3548.0
401,614.0,614.0,3149.0,3991.0,1414.0
735,4490.0,4490.0,2227.0,6838.0,10000.0
63,1385.0,1385.0,1239.0,3158.0,7906.0
962,1307.0,1307.0,3681.0,5573.0,1154.0
511,1451.0,1451.0,4209.0,1481.0,420.0
753,1243.0,1243.0,614.0,614.0,3138.0
422,1307.0,1307.0,1766.0,259.0,4509.0
772,3495.0,3495.0,1195.0,3936.0,1002.0
677,1481.0,1481.0,1592.0,9318.0,3683.0
851,1593.0,1593.0,6875.0,5810.0,2720.0
10,1972.0,1972.0,420.0,582.0,3397.0
856,2027.0,2027.0,3582.0,1862.0,9654.0
491,4418.0,4418.0,634.0,5670.0,1154.0
272,9318.0,9318.0,3263.0,6503.0,7906.0
202,8458.0,8458.0,2535.0,3025.0,9318.0
480,1332.0,1332.0,6616.0,5816.0,6609.0
667,10000.0,10000.0,10000.0,6503.0,7150.0
925,10000.0,10000.0,3851.0,564.0,1110.0
868,3138.0,3138.0,3466.0,634.0,4411.0
68,1593.0,1593.0,9556.0,10000.0,10000.0
391,3397.0,3397.0,564.0,4163.0,6609.0
431,6539.0,6539.0,6418.0,1879.0,2916.0
117,4418.0,4418.0,3440.0,420.0,8458.0
129,341.0,341.0,619.0,1332.0,4509.0
404,5957.0,5957.0,435.0,6124.0,7150.0
340,5089.0,5089.0,2380.0,10000.0,3397.0
102,1299.0,1299.0,1745.0,10000.0,4411.0
173,1414.0,1414.0,5295.0,1941.0,1299.0
15,5089.0,5089.0,3674.0,847.0,873.0
162,1451.0,1451.0,1260.0,4804.0,341.0
21,1481.0,1481.0,6196.0,3683.0,3138.0
297,1972.0,1972.0,1085.0,826.0,3603.0
768,4418.0,4418.0,1865.0,1037.0,1110.0
732,8797.0,8797.0,6001.0,6697.0,3479.0
829,3913.0,3913.0,3248.0,980.0,4418.0
157,1550.0,1550.0,10000.0,4160.0,1307.0
128,9654.0,9654.0,10000.0,2188.0,1593.0
591,847.0,847.0,2652.0,2588.0,8458.0
594,10000.0,10000.0,8670.0,916.0,1093.0
853,3327.0,3327.0,564.0,10000.0,4613.0
