,LEARNED,STATIC,AC,LINRS,NRS
917,28,111.0,168.0,26.0,29
405,24,27.0,31.0,250.0,40
896,48,46.0,228.0,43.0,69
173,22,84.0,22.0,87.0,88
627,250,18.0,99.0,239.0,14
454,22,143.0,42.0,90.0,8
780,63,37.0,2.0,141.0,72
490,43,42.0,93.0,24.0,143
375,37,35.0,250.0,250.0,208
466,41,26.0,85.0,222.0,68
416,17,36.0,24.0,35.0,50
72,9,39.0,87.0,86.0,14
630,7,37.0,171.0,47.0,41
796,149,16.0,87.0,250.0,105
61,39,39.0,28.0,250.0,28
359,74,123.0,53.0,250.0,250
621,86,45.0,250.0,250.0,21
153,12,28.0,78.0,250.0,27
908,30,131.0,111.0,96.0,29
255,61,71.0,66.0,250.0,47
43,37,99.0,153.0,141.0,203
880,84,88.0,153.0,250.0,250
68,8,40.0,20.0,250.0,250
377,35,30.0,14.0,242.0,165
281,68,22.0,34.0,158.0,69
661,230,6.0,216.0,66.0,49
179,41,59.0,75.0,250.0,165
314,57,56.0,34.0,22.0,70
824,40,10.0,87.0,14.0,250
438,19,93.0,99.0,67.0,41
407,17,250.0,153.0,48.0,250
784,44,24.0,69.0,46.0,105
806,27,42.0,237.0,23.0,250
87,81,27.0,37.0,55.0,31
920,20,59.0,14.0,195.0,43
856,115,17.0,6.0,86.0,250
364,55,95.0,250.0,171.0,211
741,39,46.0,120.0,26.0,65
979,19,186.0,250.0,14.0,250
185,38,32.0,190.0,126.0,212
784,44,24.0,69.0,46.0,105
171,22,40.0,35.0,71.0,126
291,20,67.0,250.0,25.0,250
894,106,41.0,216.0,115.0,195
876,23,65.0,250.0,250.0,120
2,90,21.0,67.0,61.0,192
190,17,65.0,250.0,140.0,12
73,66,68.0,228.0,118.0,13
176,50,43.0,250.0,139.0,250
677,34,46.0,190.0,250.0,148
281,68,22.0,34.0,158.0,69
325,12,76.0,212.0,117.0,36
646,114,28.0,114.0,190.0,250
442,98,13.0,190.0,61.0,250
585,33,56.0,111.0,241.0,84
15,36,21.0,50.0,37.0,200
423,56,91.0,18.0,74.0,26
218,20,86.0,69.0,107.0,21
667,36,112.0,39.0,241.0,250
711,53,35.0,24.0,126.0,136
401,81,29.0,14.0,37.0,38
735,68,18.0,52.0,41.0,250
63,23,119.0,168.0,19.0,146
962,26,16.0,250.0,250.0,241
511,86,46.0,24.0,65.0,52
753,56,24.0,250.0,21.0,250
422,14,46.0,250.0,45.0,250
772,212,47.0,215.0,57.0,16
677,34,46.0,190.0,250.0,148
851,14,37.0,16.0,35.0,130
10,250,34.0,53.0,133.0,21
856,115,17.0,6.0,86.0,250
491,34,27.0,250.0,39.0,46
272,122,66.0,168.0,24.0,53
202,50,85.0,44.0,250.0,16
480,88,27.0,142.0,230.0,220
667,36,112.0,39.0,241.0,250
925,73,11.0,69.0,164.0,41
868,74,37.0,141.0,139.0,21
68,8,40.0,20.0,250.0,250
391,55,106.0,142.0,250.0,250
431,73,63.0,10.0,82.0,250
117,93,69.0,35.0,82.0,250
129,145,66.0,250.0,61.0,179
404,36,26.0,39.0,13.0,138
340,27,33.0,53.0,10.0,190
102,37,79.0,141.0,205.0,213
173,22,84.0,22.0,87.0,88
15,36,21.0,50.0,37.0,200
162,61,68.0,250.0,38.0,250
21,43,61.0,250.0,250.0,250
297,8,21.0,24.0,88.0,2
768,91,28.0,69.0,47.0,250
732,71,40.0,79.0,16.0,42
829,95,43.0,166.0,29.0,13
157,47,16.0,2.0,250.0,73
128,43,24.0,30.0,250.0,36
591,40,55.0,35.0,250.0,26
594,28,13.0,34.0,108.0,22
853,43,62.0,77.0,250.0,21
