,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,SARSA
0,17,13,23,23,25
1,19,17,29,31,29
2,24,33,24,28,29
3,20,24,12,32,27
4,3,28,34,19,21
5,16,13,21,23,30
6,20,16,6,26,27
7,20,26,16,18,13
8,30,9,36,30,19
9,18,37,7,13,27
10,20,44,27,14,41
11,23,18,35,10,21
12,4,24,8,30,18
13,15,13,16,28,20
14,28,17,14,28,30
15,15,29,22,20,14
16,26,18,25,59,33
17,27,27,11,17,7
18,18,32,32,34,40
19,14,16,11,5,30
20,26,37,29,24,39
21,19,29,6,32,21
22,26,15,12,9,23
23,16,24,16,31,36
24,12,34,32,25,39
25,14,2,32,26,3
26,14,30,18,16,44
27,18,33,14,24,39
28,7,39,21,26,15
29,33,34,25,46,13
30,14,37,18,17,26
31,17,18,28,19,36
32,30,6,11,23,14
33,16,27,11,23,14
34,10,28,16,11,32
35,14,24,21,7,2
36,11,32,29,41,35
37,25,21,29,8,9
38,21,41,17,19,32
39,8,28,21,17,44
40,20,19,22,50,33
41,35,31,29,35,34
42,26,33,20,31,23
43,16,6,21,22,20
44,19,34,3,24,23
45,7,33,21,20,44
46,9,34,13,26,25
47,36,21,14,29,48
48,23,10,13,24,30
49,22,17,43,32,40
50,36,11,29,8,12
51,24,18,25,24,28
52,24,40,9,35,39
53,24,39,16,13,31
54,17,11,9,5,11
55,28,29,9,32,32
56,20,26,26,2,12
57,30,16,24,26,30
58,27,31,26,4,36
59,19,31,19,10,46
60,29,31,8,18,28
61,17,30,22,6,26
62,17,33,11,12,14
63,21,30,21,22,29
64,26,23,8,46,29
65,15,30,30,7,28
66,23,25,27,24,21
67,25,37,11,37,21
68,31,15,25,28,11
69,21,38,20,25,31
70,13,16,21,24,16
71,28,33,9,40,34
72,15,37,22,25,7
73,31,37,22,36,21
74,14,29,30,16,30
75,28,28,30,19,30
76,15,32,20,12,26
77,11,47,12,13,29
78,15,23,18,18,18
79,25,29,25,35,26
80,6,13,6,28,18
81,25,16,12,18,37
82,22,26,23,12,13
83,41,29,16,9,3
84,19,33,19,24,40
85,15,35,16,17,11
86,14,25,32,12,23
87,20,11,10,20,27
88,12,34,15,31,41
89,23,32,19,21,15
90,37,25,15,28,13
91,19,16,23,23,10
92,13,3,16,8,27
93,35,15,43,13,6
94,29,25,3,18,9
95,21,24,13,10,29
96,12,6,26,27,26
97,26,19,26,23,30
98,6,47,29,16,25
99,17,28,27,25,2
