,DYNAMIC,STATIC,AC,LINRS,NRS
917,20,13.0,24.0,2.0,10
405,21,52.0,10.0,148.0,30
896,17,9.0,119.0,23.0,21
173,16,28.0,21.0,13.0,65
627,250,107.0,87.0,103.0,1
454,21,37.0,18.0,30.0,2
780,27,13.0,1.0,108.0,12
490,40,23.0,66.0,16.0,32
375,6,39.0,202.0,250.0,8
466,20,19.0,65.0,83.0,9
416,10,23.0,9.0,32.0,43
72,8,35.0,17.0,83.0,6
630,1,11.0,132.0,7.0,26
796,63,35.0,17.0,197.0,13
61,14,14.0,13.0,102.0,21
359,33,16.0,30.0,250.0,1
621,17,18.0,250.0,250.0,20
153,4,14.0,51.0,250.0,8
908,29,32.0,50.0,54.0,24
255,60,23.0,62.0,232.0,14
43,13,28.0,13.0,29.0,183
880,23,19.0,13.0,24.0,134
68,3,10.0,7.0,222.0,250
377,21,44.0,10.0,131.0,151
281,31,45.0,14.0,62.0,65
661,211,1.0,9.0,1.0,44
179,40,1.0,38.0,34.0,151
314,39,43.0,14.0,21.0,61
824,8,7.0,17.0,6.0,111
438,18,7.0,87.0,59.0,17
407,13,20.0,13.0,35.0,132
784,16,18.0,15.0,25.0,12
806,18,13.0,182.0,16.0,158
87,78,11.0,33.0,18.0,17
920,15,24.0,10.0,33.0,30
856,21,7.0,5.0,30.0,250
364,40,28.0,250.0,39.0,66
741,9,13.0,66.0,22.0,64
979,18,20.0,250.0,10.0,117
185,33,9.0,25.0,15.0,50
784,16,18.0,15.0,25.0,12
171,8,8.0,23.0,25.0,9
291,19,7.0,250.0,24.0,250
894,105,18.0,9.0,96.0,21
876,10,50.0,9.0,212.0,57
2,12,19.0,53.0,26.0,13
190,12,22.0,94.0,133.0,10
73,62,12.0,119.0,8.0,12
176,13,15.0,10.0,117.0,43
677,31,14.0,123.0,77.0,49
281,31,45.0,14.0,62.0,65
325,10,18.0,30.0,24.0,15
646,70,33.0,9.0,134.0,82
442,14,28.0,123.0,22.0,7
585,30,1.0,50.0,9.0,53
15,25,7.0,23.0,15.0,139
423,22,25.0,1.0,13.0,24
218,15,25.0,15.0,106.0,17
667,27,75.0,28.0,236.0,63
711,33,26.0,9.0,1.0,18
401,4,250.0,10.0,32.0,35
735,9,13.0,36.0,7.0,250
63,22,14.0,24.0,12.0,18
962,3,1.0,10.0,250.0,234
511,65,98.0,14.0,31.0,8
753,45,1.0,250.0,12.0,135
422,10,15.0,25.0,20.0,250
772,11,9.0,2.0,43.0,1
677,31,14.0,123.0,77.0,49
851,8,19.0,1.0,11.0,101
10,229,9.0,50.0,43.0,13
856,21,7.0,5.0,30.0,250
491,25,37.0,10.0,9.0,34
272,14,49.0,24.0,15.0,36
202,16,31.0,23.0,17.0,4
480,10,35.0,125.0,83.0,101
667,27,75.0,28.0,236.0,63
925,12,18.0,64.0,157.0,25
868,41,18.0,137.0,109.0,16
68,3,10.0,7.0,222.0,250
391,49,9.0,125.0,47.0,189
431,53,27.0,8.0,74.0,125
117,79,8.0,23.0,33.0,241
129,41,1.0,25.0,27.0,106
404,32,8.0,28.0,9.0,10
340,23,1.0,50.0,6.0,151
102,16,25.0,137.0,49.0,65
173,16,28.0,21.0,13.0,65
15,25,7.0,23.0,15.0,139
162,56,14.0,27.0,27.0,250
21,20,46.0,250.0,250.0,250
297,7,42.0,20.0,56.0,1
768,22,22.0,64.0,11.0,6
732,17,19.0,73.0,13.0,12
829,14,32.0,48.0,1.0,12
157,46,8.0,1.0,250.0,23
128,4,9.0,7.0,178.0,18
591,39,36.0,23.0,86.0,20
594,17,8.0,23.0,8.0,21
853,12,14.0,10.0,250.0,1
