,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,AC
917,3,14,12.0,1.0,15.0
405,13,34,22.0,6.0,6.0
896,10,12,8.0,1.0,93.0
173,14,7,14.0,10.0,20.0
627,250,62,1.0,1.0,73.0
454,19,17,19.0,71.0,16.0
780,1,9,11.0,15.0,1.0
490,23,29,22.0,52.0,31.0
375,1,1,26.0,16.0,201.0
466,8,2,17.0,9.0,63.0
416,9,23,19.0,250.0,7.0
72,6,16,12.0,4.0,16.0
630,1,104,10.0,21.0,7.0
796,46,18,1.0,31.0,16.0
61,10,7,2.0,1.0,11.0
359,30,44,13.0,148.0,26.0
621,10,11,11.0,2.0,250.0
153,1,7,13.0,9.0,46.0
908,28,116,31.0,9.0,1.0
255,2,11,19.0,1.0,29.0
43,11,18,17.0,23.0,10.0
880,16,1,17.0,14.0,10.0
68,1,3,8.0,21.0,6.0
377,12,25,37.0,9.0,9.0
281,30,13,43.0,18.0,12.0
661,194,250,1.0,1.0,8.0
179,23,17,1.0,12.0,37.0
314,18,21,28.0,29.0,12.0
824,7,7,3.0,23.0,16.0
438,13,13,1.0,21.0,73.0
407,12,21,1.0,60.0,10.0
784,14,9,16.0,3.0,9.0
806,14,142,11.0,14.0,94.0
87,77,9,9.0,43.0,21.0
920,14,1,21.0,7.0,7.0
856,1,13,1.0,11.0,1.0
364,37,25,7.0,1.0,250.0
741,4,140,12.0,11.0,60.0
979,12,7,17.0,19.0,250.0
185,29,70,7.0,1.0,24.0
784,14,9,16.0,3.0,9.0
171,6,5,4.0,23.0,19.0
291,18,19,1.0,7.0,250.0
894,93,18,5.0,4.0,8.0
876,3,16,16.0,10.0,4.0
2,10,12,12.0,9.0,49.0
190,1,1,15.0,7.0,73.0
73,59,31,5.0,7.0,93.0
176,11,2,1.0,7.0,7.0
677,17,37,12.0,22.0,23.0
281,30,13,43.0,18.0,12.0
325,9,8,15.0,8.0,10.0
646,24,8,32.0,11.0,3.0
442,12,102,12.0,14.0,23.0
585,27,71,1.0,11.0,1.0
15,24,15,1.0,10.0,19.0
423,1,1,8.0,24.0,1.0
218,1,1,7.0,30.0,9.0
667,1,21,17.0,8.0,11.0
711,32,15,8.0,4.0,7.0
401,1,1,5.0,15.0,7.0
735,8,50,2.0,34.0,35.0
63,12,8,11.0,6.0,15.0
962,1,1,1.0,4.0,7.0
511,28,82,12.0,20.0,13.0
753,12,250,1.0,26.0,250.0
422,2,1,12.0,1.0,22.0
772,1,61,8.0,26.0,1.0
677,17,37,12.0,22.0,23.0
851,2,3,14.0,5.0,1.0
10,228,61,5.0,1.0,8.0
856,1,13,1.0,11.0,1.0
491,24,20,10.0,2.0,7.0
272,6,42,1.0,8.0,15.0
202,12,15,11.0,23.0,22.0
480,1,1,34.0,43.0,36.0
667,1,21,17.0,8.0,11.0
925,10,46,17.0,7.0,62.0
868,25,62,17.0,1.0,1.0
68,1,3,8.0,21.0,6.0
391,8,6,7.0,16.0,36.0
431,12,85,13.0,1.0,4.0
117,73,8,7.0,13.0,19.0
129,28,25,1.0,1.0,22.0
404,10,11,1.0,8.0,11.0
340,20,15,1.0,8.0,8.0
102,15,35,20.0,6.0,1.0
173,14,7,14.0,10.0,20.0
15,24,15,1.0,10.0,19.0
162,10,68,9.0,10.0,14.0
21,15,27,43.0,9.0,250.0
297,6,121,16.0,1.0,4.0
768,13,12,15.0,8.0,62.0
732,15,11,13.0,24.0,63.0
829,12,16,2.0,250.0,45.0
157,33,21,6.0,66.0,1.0
128,1,1,8.0,1.0,1.0
591,38,70,31.0,12.0,19.0
594,14,7,2.0,11.0,12.0
853,11,2,10.0,24.0,9.0
