,DYNAMIC,STATIC,SARSA,LINRS,NRS
0,1,9,5,5,3
1,5,14,12,8,5
2,12,4,10,4,6
3,4,4,6,7,3
4,3,5,4,5,15
5,4,12,6,5,5
6,4,6,1,10,2
7,4,10,11,1,5
8,4,3,9,4,7
9,3,1,11,2,4
10,10,7,17,1,3
11,8,9,6,4,6
12,2,1,1,5,4
13,5,4,3,6,4
14,3,8,3,1,13
15,7,1,11,1,4
16,1,15,3,5,2
17,8,6,1,6,10
18,4,3,6,5,2
19,5,11,3,6,9
20,7,12,7,5,3
21,5,6,7,8,1
22,10,2,7,9,4
23,4,10,7,5,7
24,3,5,14,4,3
25,6,5,3,2,2
26,5,7,3,1,6
27,7,11,9,3,2
28,4,12,3,4,2
29,5,3,11,9,6
30,3,7,2,11,6
31,8,6,7,7,6
32,14,7,11,3,3
33,4,6,11,3,17
34,4,5,6,6,3
35,8,4,2,12,2
36,10,5,8,4,9
37,2,5,9,8,3
38,7,3,6,7,8
39,3,6,1,1,8
40,9,8,6,3,13
41,4,12,4,2,1
42,7,6,19,5,1
43,4,12,9,2,7
44,9,3,7,3,9
45,5,2,3,4,20
46,9,2,9,1,3
47,9,13,5,5,6
48,6,5,10,7,7
49,8,14,6,10,2
50,17,5,11,3,3
51,17,4,4,4,4
52,10,5,7,2,1
53,8,7,5,8,5
54,5,4,9,1,14
55,3,3,6,4,10
56,4,10,11,4,11
57,6,7,16,7,6
58,10,1,24,9,3
59,4,9,5,6,7
60,4,4,8,4,5
61,14,6,6,8,6
62,3,6,11,4,3
63,2,15,10,1,5
64,2,5,10,11,3
65,5,4,8,3,4
66,6,7,9,7,4
67,16,7,7,5,3
68,8,3,9,3,4
69,10,7,5,5,8
70,4,4,5,6,6
71,5,5,9,3,5
72,4,4,1,6,8
73,6,2,6,5,6
74,6,11,3,6,6
75,8,12,2,3,9
76,6,1,6,5,10
77,3,12,8,2,7
78,15,14,1,9,4
79,3,13,6,2,1
80,6,6,1,6,2
81,7,1,4,6,1
82,5,9,4,1,2
83,13,7,3,1,11
84,1,3,6,1,1
85,6,6,9,4,9
86,3,14,19,4,2
87,10,4,1,3,4
88,6,2,17,7,4
89,10,4,3,19,8
90,5,3,4,16,9
91,5,10,10,7,2
92,9,5,6,2,2
93,5,14,5,10,3
94,9,3,9,9,1
95,7,2,10,5,5
96,4,12,2,5,9
97,7,12,3,6,1
98,5,2,5,4,8
99,1,6,2,2,1
