,LEARNED,STATIC,SARSA,LINRS,NRS
0,43,20,25,38,56
1,38,39,49,63,57
2,38,20,41,52,49
3,31,27,46,37,27
4,55,30,69,65,52
5,38,60,41,83,51
6,34,24,66,51,34
7,20,52,73,23,28
8,32,37,31,46,32
9,30,25,52,50,70
10,39,38,66,23,18
11,31,36,65,25,50
12,44,36,18,83,70
13,53,59,67,53,34
14,42,50,32,27,52
15,22,27,39,27,47
16,38,21,62,58,21
17,39,27,60,52,33
18,38,56,75,64,52
19,29,29,77,52,50
20,58,58,49,21,45
21,38,52,46,37,38
22,26,64,48,53,29
23,38,25,63,30,46
24,30,52,39,35,18
25,45,16,60,33,27
26,31,34,84,41,66
27,18,47,39,18,52
28,37,29,20,52,34
29,57,68,73,39,57
30,36,57,50,46,27
31,46,42,63,43,49
32,30,27,66,35,57
33,38,25,39,28,49
34,26,47,74,19,69
35,14,32,38,53,21
36,40,41,63,38,35
37,47,24,83,31,40
38,41,32,74,24,51
39,46,39,72,17,55
40,36,59,57,21,62
41,41,47,79,50,39
42,28,61,39,29,20
43,38,16,45,40,52
44,20,29,48,31,71
45,45,49,84,38,70
46,43,46,48,41,53
47,47,36,79,24,49
48,33,30,72,57,33
49,38,31,75,42,27
50,42,45,53,21,56
51,35,52,39,64,50
52,43,25,49,40,26
53,44,33,52,43,49
54,22,47,53,46,78
55,58,23,74,19,46
56,45,42,53,59,46
57,34,34,58,50,58
58,29,59,40,50,58
59,44,39,59,42,34
60,54,20,73,38,58
61,42,36,56,43,42
62,17,63,66,76,32
63,26,27,41,63,22
64,26,35,41,75,56
65,45,25,73,55,38
66,33,43,46,41,33
67,42,23,46,40,43
68,53,27,53,66,49
69,33,20,49,65,40
70,34,57,47,45,66
71,45,20,56,31,48
72,43,20,60,67,55
73,31,45,65,52,43
74,39,40,77,7,42
75,47,52,36,46,66
76,42,33,47,86,66
77,50,33,29,85,54
78,15,30,18,46,26
79,30,19,47,38,25
80,36,26,18,9,58
81,25,52,70,45,51
82,49,38,13,59,49
83,41,42,60,36,35
84,40,30,75,26,39
85,42,27,53,42,76
86,36,27,39,69,32
87,35,59,66,55,70
88,48,47,66,59,53
89,29,32,20,54,55
90,49,40,13,64,39
91,41,29,64,23,21
92,26,19,46,67,52
93,42,23,59,51,78
94,42,37,83,35,17
95,40,41,41,42,42
96,24,27,26,38,76
97,28,18,32,52,39
98,21,32,25,44,41
99,43,23,38,40,20
